DateTime,MsgNr,Event,MessageClass,MessageType,MessageStatus
3/4/2022 6:49,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:49,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:50,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:50,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:50,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:50,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:51,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:51,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:51,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:51,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:52,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:52,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:52,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:52,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:53,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:53,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
3/4/2022 6:54,1117,PS_CAHU1_RAT LOW,ALARM,Alarm High,1
3/4/2022 6:54,1118,PS_CAHU1_RAT HIGH,ALARM,Alarm High,1
